"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2022","Provincie","kamerwoning","Nieuwbouw","Q3","4","4","4","0","190","0,00","5.039","5.533,07","2.177,46","0,00","0,00"
"2022","Provincie","kamerwoning","Nieuwbouw","Q4","3","5","5","0","105","0,00","3.445","4.191,14","2.506,60","0,00","0,00"
"2022","Gemeente","kamerwoning","Nieuwbouw","Q2","5","6","6","0","138","0,00","3.150","3.551,64","1.812,85","0,00","0,00"
"2022","-","kamerwoning","Nieuwbouw","Q1","1","1","1","0","128","0,00","3.031","3.030,54","1.105,64","0,00","0,00"
"2022","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q4","10","10","10","0","75","0,00","2.642","6.813,55","2.555,61","0,00","0,00"
"2022","-","kamerwoning","Verbouwen of hergebruik","Q2","8","9","9","0","65","0,00","2.292","2.957,69","1.447,25","0,00","0,00"
"2022","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q2","20","20","20","0","56","0,00","2.022","4.638,46","2.411,01","0,00","0,00"
"2022","Provincie","kamerwoning","Verbouwen of hergebruik","Q4","6","6","6","0","53","0,00","1.857","2.403,09","1.069,79","0,00","0,00"
"2022","-","kamerwoning","Verbouwen of hergebruik","Q3","10","10","10","0","112","0,00","1.131","2.207,21","1.148,91","0,00","0,00"
"2022","Provincie","kamerwoning","Verbouwen of hergebruik","Q1","3","3","3","0","43","0,00","853","859,44","366,53","0,00","0,00"
"2022","Provincie","kamerwoning","Verbouwen of hergebruik","Q2","2","2","2","0","24","0,00","553","684,45","263,19","0,00","0,00"
"2022","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q3","6","6","6","0","15","0,00","530","1.280,64","585,64","0,00","0,00"
"2022","RVVB","kamerwoning","Nieuwbouw","Q1","1","1","1","0","12","0,00","490","3.123,11","2.488,62","0,00","0,00"
