Jaar indiening;Gebouw Functie kort;Handeling;Project Aanvrager Type;Aantal projecten;Aantal gebouwen;Aantal gebouwen (met gebouwinfo);Aantal wooneenheden;Aantal (studenten)kamers;Nuttige woonoppervlakte (m²);Nuttige oppervlakte kamerwoningen (m²);Bovengronds nuttige oppervlakte (m²);Bovengronds grond oppervlakte (m²);Gesloopte oppervlakte (m²);Gesloopte volume (m³);[Project Huidige Toestand Eenvoudig]
2020;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;14.287;14.707;14.739;14.134;0;4.298.147,58;0;3.428.274,40;2.332.522,29;0,00;0,00;Vergunning
2021;eengezinswoning;Nieuwbouw;Rechtspersoon;1;2;2;2;0;361,82;0;361,82;191,74;0,00;0,00;In behandeling (in eerste aanleg)
2021;eengezinswoning;Nieuwbouw;Rechtspersoon;2;4;4;4;0;551,94;0;551,94;292,53;0,00;0,00;In behandeling (na beroep)
2021;eengezinswoning;Nieuwbouw;Rechtspersoon;3;13;13;12;0;1.655,33;0;5.754,89;4.351,95;0,00;0,00;Geen beslissing genomen
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;1;14;14;14;0;1.912,60;0;1.912,60;1.268,20;0,00;0,00;Geen beslissing genomen
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon;11;11;11;11;0;2.569,45;0;2.291,49;1.825,52;0,00;0,00;Geen beslissing genomen
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;3;12;12;12;0;3.849,41;0;4.801,51;3.050,61;0,00;0,00;In behandeling (na beroep)
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon;9;40;40;40;0;23.421,64;0;6.522,34;3.496,05;0,00;0,00;In behandeling (na beroep)
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;62;224;224;219;0;54.753,84;0;35.418,04;22.441,64;0,00;0,00;Weigering
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;164;579;579;562;0;85.567,60;0;106.826,80;60.999,83;0,00;0,00;Stopgezet
2021;eengezinswoning;Nieuwbouw;Rechtspersoon;157;472;472;467;0;92.096,28;0;106.318,67;83.856,84;0,00;0,00;Weigering
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon;569;841;841;825;0;209.037,54;0;163.628,21;121.845,88;0,00;0,00;Weigering
2021;eengezinswoning;Nieuwbouw;Rechtspersoon;373;1.512;1.512;1.499;0;232.018,29;0;259.121,54;146.837,46;0,00;0,00;Stopgezet
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;733;2.021;2.021;1.995;0;506.621,66;0;420.218,30;206.958,52;0,00;0,00;Vergunning
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon;1.266;1.732;1.732;1.696;0;675.043,75;0;414.001,54;240.830,82;0,00;0,00;Stopgezet
2021;eengezinswoning;Nieuwbouw;Rechtspersoon;2.248;6.351;6.351;6.297;0;1.159.078,58;0;1.161.236,00;682.031,30;0,00;0,00;Vergunning
2021;eengezinswoning;Nieuwbouw;Natuurlijk persoon;10.646;11.991;11.992;11.819;0;3.806.895,00;0;4.053.985,26;1.860.991,27;0,00;0,00;Vergunning
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;1;0;10,80;0;10,80;10,80;0,00;0,00;In behandeling (in eerste aanleg)
2021;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;2;2;2;1;0;126,59;0;391,12;157,77;0,00;0,00;In behandeling (na beroep)
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Overheid-Rechtspersoon;1;1;1;1;0;146,00;0;146,00;92,51;0,00;0,00;Vergunning
2021;eengezinswoning;Verbouwen of hergebruik;Overheid;3;3;3;2;0;199,51;0;757,82;457,89;0,00;0,00;Vergunning
2021;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;2;2;2;2;0;325,10;0;371,60;155,00;0,00;0,00;Geen beslissing genomen
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;6;6;6;6;0;754,82;0;1.154,12;746,32;0,00;0,00;Niet rechtsgeldig
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Overheid;2;12;12;12;0;962,00;0;962,00;912,00;0,00;0,00;Vergunning
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;2;4;4;4;0;1.519,09;0;1.822,53;801,40;0,00;0,00;In behandeling (na beroep)
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;7;7;7;7;0;1.633,21;0;1.633,24;1.080,07;0,00;0,00;Aktename
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;11;11;11;10;0;1.812,10;0;2.089,00;1.616,65;0,00;0,00;Geen beslissing genomen
2021;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;18;19;19;14;0;1.971,43;0;3.058,93;1.945,02;0,00;0,00;Niet rechtsgeldig
2021;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;33;33;33;31;0;4.560,78;0;5.235,69;3.128,08;0,00;0,00;Aktename
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;35;37;37;28;0;5.109,07;0;11.928,42;8.536,65;0,00;0,00;Weigering
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;12;18;18;15;0;5.250,68;0;4.557,14;2.847,24;0,00;0,00;In behandeling (na beroep)
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;82;94;94;77;0;18.099,94;0;29.521,68;19.489,11;0,00;0,00;Stopgezet
2021;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;81;112;114;92;0;23.211,63;0;34.453,28;25.883,50;0,00;0,00;Weigering
2021;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;150;178;181;130;0;26.879,12;0;71.847,46;37.726,20;0,00;0,00;Stopgezet
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;433;609;610;556;0;120.866,00;0;137.520,02;144.263,84;0,00;0,00;Vergunning
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;591;595;595;595;0;130.224,98;0;137.075,86;68.068,34;0,00;0,00;Aktename
2021;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;816;1.013;1.018;854;0;209.946,92;0;354.939,82;203.066,10;0,00;0,00;Vergunning
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;759;797;798;737;0;234.226,72;0;251.989,18;123.848,98;0,00;0,00;Weigering
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;412;416;416;411;0;551.459,35;0;81.856,66;40.846,46;0,00;0,00;Niet rechtsgeldig
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;2.441;2.563;2.571;2.351;0;824.834,22;0;621.625,58;416.610,53;0,00;0,00;Stopgezet
2021;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;15.646;16.183;16.206;15.548;0;4.546.083,79;0;4.350.616,96;3.202.245,07;0,00;0,00;Vergunning
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon;9;11;11;11;0;2.435,27;0;2.627,41;1.815,11;0,00;0,00;Geen beslissing genomen
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;6;33;33;31;0;4.122,26;0;6.341,81;4.258,48;0,00;0,00;In behandeling (na beroep)
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon;7;38;38;38;0;6.252,34;0;5.607,39;3.787,96;0,00;0,00;In behandeling (na beroep)
2022;eengezinswoning;Nieuwbouw;Rechtspersoon;3;47;47;47;0;6.464,11;0;6.378,90;4.035,17;0,00;0,00;Geen beslissing genomen
2022;eengezinswoning;Nieuwbouw;Rechtspersoon;8;73;73;72;0;9.484,42;0;10.335,82;5.597,14;0,00;0,00;In behandeling (na beroep)
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;59;196;196;189;0;32.812,49;0;35.876,25;19.210,69;0,00;0,00;Weigering
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;104;608;608;606;0;93.849,06;0;109.962,26;55.454,59;0,00;0,00;Stopgezet
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon;483;612;612;602;0;140.379,18;0;167.877,58;108.759,05;0,00;0,00;Weigering
2022;eengezinswoning;Nieuwbouw;Rechtspersoon;205;906;906;893;0;162.185,39;0;215.614,52;84.361,80;0,00;0,00;Weigering
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;441;1.418;1.418;1.404;0;256.493,41;0;232.905,69;144.183,62;0,00;0,00;Vergunning
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon;947;1.251;1.251;1.234;0;346.677,90;0;369.726,53;206.490,84;0,00;0,00;Stopgezet
2022;eengezinswoning;Nieuwbouw;Rechtspersoon;389;2.315;2.315;2.291;0;360.182,51;0;438.699,21;219.084,74;0,00;0,00;Stopgezet
2022;eengezinswoning;Nieuwbouw;Rechtspersoon;2.001;6.061;6.061;6.018;0;1.064.302,95;0;1.427.792,38;607.908,60;0,00;0,00;Vergunning
2022;eengezinswoning;Nieuwbouw;Natuurlijk persoon;7.658;8.579;8.582;8.471;0;2.185.200,77;0;2.020.049,38;1.341.253,97;0,00;0,00;Vergunning
2022;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;2;2;2;0;0;0,00;0;1.399,66;1.464,06;0,00;0,00;Geen beslissing genomen
2022;eengezinswoning;Verbouwen of hergebruik;Overheid-Rechtspersoon;1;1;1;0;0;0,00;0;8,74;8,74;0,00;0,00;Vergunning
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Overheid;1;1;1;1;0;150,00;0;150,00;75,00;0,00;0,00;Stopgezet
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;1;0;222,22;0;222,22;116,21;0,00;0,00;Niet rechtsgeldig
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;3;3;3;2;0;495,10;0;2.343,90;2.207,47;0,00;0,00;In behandeling (na beroep)
2022;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;2;7;7;7;0;658,04;0;659,04;462,09;0,00;0,00;In behandeling (na beroep)
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;1;0;681,67;0;681,67;414,97;0,00;0,00;Geen beslissing genomen
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;5;5;5;5;0;840,74;0;840,74;550,49;0,00;0,00;Aktename
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;5;5;5;5;0;864,17;0;18.587,15;726,30;0,00;0,00;Geen beslissing genomen
2022;eengezinswoning;Verbouwen of hergebruik;Overheid;5;6;6;6;0;975,36;0;995,16;489,72;0,00;0,00;Vergunning
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;5;6;6;6;0;1.242,62;0;1.408,40;981,12;0,00;0,00;In behandeling (in eerste aanleg)
2022;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;13;13;13;13;0;2.486,23;0;2.364,54;1.258,45;0,00;0,00;Niet rechtsgeldig
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;12;13;13;13;0;2.964,75;0;3.019,69;2.072,97;0,00;0,00;In behandeling (na beroep)
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;21;21;21;15;0;4.100,82;0;5.826,94;3.870,16;0,00;0,00;Weigering
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;48;56;56;36;0;11.883,69;0;99.638,33;12.035,22;0,00;0,00;Stopgezet
2022;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;33;64;64;64;0;12.376,53;0;11.144,40;6.309,21;0,00;0,00;Aktename
2022;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;80;115;116;92;0;20.656,96;0;31.744,08;22.957,13;0,00;0,00;Weigering
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;297;300;300;293;0;52.652,93;0;49.423,29;34.359,01;0,00;0,00;Niet rechtsgeldig
2022;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;158;281;281;241;0;63.081,99;0;90.788,33;64.543,63;0,00;0,00;Stopgezet
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;262;362;363;319;0;96.319,29;0;100.539,03;52.377,26;0,00;0,00;Vergunning
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;432;432;432;428;0;167.506,91;0;78.147,66;70.120,08;0,00;0,00;Aktename
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;744;804;808;728;0;234.389,15;0;214.514,95;156.261,24;0,00;0,00;Weigering
2022;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;879;1.154;1.156;1.015;0;268.910,66;0;321.927,58;271.979,56;0,00;0,00;Vergunning
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;2.292;2.420;2.427;2.244;0;654.753,75;0;640.835,40;479.458,40;0,00;0,00;Stopgezet
2022;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;13.882;14.633;14.661;14.046;0;3.725.033,36;0;3.617.733,86;2.245.689,96;0,00;0,00;Vergunning
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Overheid;1;3;3;3;0;96,72;0;96,72;120,16;0,00;0,00;Vergunning
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon;1;1;1;1;0;307,71;0;30.771,00;160,24;0,00;0,00;In behandeling (in eerste aanleg)
2023;eengezinswoning;Nieuwbouw;Overheid;1;5;5;5;0;341,50;0;341,50;408,93;0,00;0,00;Vergunning
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon;6;9;9;9;0;1.725,69;0;1.725,69;1.011,13;0,00;0,00;Geen beslissing genomen
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;2;24;24;24;0;3.230,10;0;3.902,91;1.756,40;0,00;0,00;Geen beslissing genomen
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon;15;20;20;20;0;7.244,30;0;8.300,04;4.052,41;0,00;0,00;In behandeling (na beroep)
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;12;62;62;60;0;7.679,54;0;9.656,52;6.534,27;0,00;0,00;In behandeling (na beroep)
2023;eengezinswoning;Nieuwbouw;Rechtspersoon;13;125;125;124;0;18.188,61;0;19.920,89;10.678,87;0,00;0,00;In behandeling (na beroep)
2023;eengezinswoning;Nieuwbouw;Rechtspersoon;5;108;108;108;0;18.900,02;0;19.059,61;9.405,45;0,00;0,00;Geen beslissing genomen
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;41;157;157;155;0;47.045,87;0;22.241,15;13.772,91;0,00;0,00;Weigering
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;75;214;214;212;0;48.206,45;0;34.426,08;18.583,80;0,00;0,00;Stopgezet
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon;415;528;528;518;0;125.768,56;0;121.549,53;71.037,31;0,00;0,00;Weigering
2023;eengezinswoning;Nieuwbouw;Rechtspersoon;183;676;676;670;0;135.107,96;0;118.941,38;72.796,02;0,00;0,00;Weigering
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;353;1.169;1.169;1.157;0;210.158,17;0;214.468,56;244.624,13;0,00;0,00;Vergunning
2023;eengezinswoning;Nieuwbouw;Rechtspersoon;362;1.377;1.377;1.370;0;239.228,44;0;244.885,75;160.440,61;0,00;0,00;Stopgezet
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon;839;1.050;1.050;1.025;0;301.556,78;0;320.671,42;146.559,03;0,00;0,00;Stopgezet
2023;eengezinswoning;Nieuwbouw;Rechtspersoon;1.731;5.950;5.950;5.906;0;991.063,83;0;1.054.418,36;574.335,66;0,00;0,00;Vergunning
2023;eengezinswoning;Nieuwbouw;Natuurlijk persoon;5.699;6.450;6.450;6.363;0;1.553.964,41;0;1.615.828,73;1.270.960,43;0,00;0,00;Vergunning
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;1;0;276,56;0;276,56;183,78;0,00;0,00;In behandeling (in eerste aanleg)
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Overheid;3;3;3;3;0;303,87;0;303,87;361,47;0,00;0,00;Vergunning
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;2;2;2;2;0;316,85;0;316,85;172,09;0,00;0,00;Aktename
2023;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;2;0;570,84;0;1.178,61;446,60;0,00;0,00;In behandeling (na beroep)
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;9;9;9;0;622,00;0;792,50;600,50;0,00;0,00;Geen beslissing genomen
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;4;4;4;4;0;632,91;0;422,91;210,94;0,00;0,00;Niet rechtsgeldig
2023;eengezinswoning;Verbouwen of hergebruik;Overheid;6;6;6;4;0;854,20;0;1.628,20;789,20;0,00;0,00;Vergunning
2023;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;2;6;6;5;0;1.275,59;0;8.644,33;6.251,11;0,00;0,00;Geen beslissing genomen
2023;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;13;25;25;25;0;2.625,26;0;2.563,86;1.823,48;0,00;0,00;Niet rechtsgeldig
2023;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;21;23;23;22;0;4.381,81;0;4.687,13;2.838,36;0,00;0,00;Aktename
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;15;30;30;28;0;5.745,94;0;24.749,53;5.940,23;0,00;0,00;Geen beslissing genomen
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;26;33;33;25;0;6.496,35;0;10.591,66;8.830,11;0,00;0,00;Weigering
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;31;36;36;30;0;7.634,60;0;9.871,73;6.892,46;0,00;0,00;In behandeling (na beroep)
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;47;59;60;50;0;12.799,47;0;22.338,60;18.059,87;0,00;0,00;Stopgezet
2023;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;78;119;120;91;0;18.982,77;0;51.476,44;34.303,59;0,00;0,00;Weigering
2023;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;198;271;272;228;0;51.105,18;0;73.597,86;52.610,10;0,00;0,00;Stopgezet
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;267;426;427;380;0;67.108,26;0;175.347,40;65.242,95;0,00;0,00;Vergunning
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;414;416;416;412;0;73.218,02;0;75.203,43;55.644,35;0,00;0,00;Aktename
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;299;300;300;295;0;88.696,40;0;47.619,70;152.315,05;0,00;0,00;Niet rechtsgeldig
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;865;1.009;1.010;919;0;260.469,76;0;255.570,14;169.887,82;0,00;0,00;Weigering
2023;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;1.015;1.472;1.473;1.338;0;320.797,21;0;321.839,29;207.209,10;0,00;0,00;Vergunning
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;2.447;2.680;2.683;2.494;0;649.683,54;0;1.073.386,53;420.911,67;0,00;0,00;Stopgezet
2023;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;13.163;13.970;13.975;13.426;0;3.687.105,28;0;3.398.059,89;2.445.659,99;0,00;0,00;Vergunning
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Overheid;1;3;3;3;0;96,72;0;96,72;120,16;0,00;0,00;Vergunning
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;1;1;1;1;0;140,00;0;140,00;83,60;0,00;0,00;Geen beslissing genomen
2024;eengezinswoning;Nieuwbouw;Rechtspersoon;1;1;1;1;0;896,00;0;896,00;544,00;0,00;0,00;Geen beslissing genomen
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon;5;5;5;5;0;1.255,56;0;12.030,15;1.306,40;0,00;0,00;Geen beslissing genomen
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;13;187;187;185;0;22.122,07;0;23.110,54;12.867,15;0,00;0,00;In behandeling (na beroep)
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;52;175;175;173;0;27.780,88;0;28.211,44;16.164,59;0,00;0,00;Stopgezet
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;35;118;118;114;0;29.402,07;0;41.394,50;10.349,46;0,00;0,00;Weigering
2024;eengezinswoning;Nieuwbouw;Rechtspersoon;34;242;242;241;0;31.419,54;0;33.983,99;20.574,74;0,00;0,00;In behandeling (na beroep)
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon;46;56;56;54;0;32.172,09;0;11.074,66;7.729,80;0,00;0,00;In behandeling (na beroep)
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon;359;483;483;471;0;146.601,69;0;96.195,33;65.339,09;0,00;0,00;Weigering
2024;eengezinswoning;Nieuwbouw;Rechtspersoon;154;422;422;412;0;152.227,37;0;150.448,74;50.504,61;0,00;0,00;Weigering
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;316;869;869;858;0;200.328,23;0;143.793,95;85.340,90;0,00;0,00;Vergunning
2024;eengezinswoning;Nieuwbouw;Rechtspersoon;352;1.232;1.232;1.221;0;273.653,08;0;280.570,58;170.086,10;0,00;0,00;Stopgezet
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon;862;1.090;1.090;1.071;0;304.750,75;0;291.096,57;184.314,66;0,00;0,00;Stopgezet
2024;eengezinswoning;Nieuwbouw;Rechtspersoon;1.636;4.302;4.302;4.267;0;887.646,37;0;828.067,31;467.884,62;0,00;0,00;Vergunning
2024;eengezinswoning;Nieuwbouw;Natuurlijk persoon;5.768;6.421;6.421;6.331;0;1.556.961,53;0;1.533.316,15;1.069.423,25;0,00;0,00;Vergunning
2024;eengezinswoning;Verbouwen of hergebruik;Overheid;1;1;1;1;0;0,00;0;0,00;4,85;0,00;0,00;Vergunning
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Overheid;1;1;1;0;0;0,00;0;259,21;182,72;0,00;0,00;Vergunning
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;1;0;115,00;0;179,00;234,00;0,00;0,00;In behandeling (in eerste aanleg)
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;3;3;3;2;0;148,52;0;567,82;202,32;0,00;0,00;Niet rechtsgeldig
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;2;2;2;2;0;311,70;0;311,70;197,75;0,00;0,00;Aktename
2024;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;2;2;2;2;0;819,64;0;819,64;497,96;0,00;0,00;Geen beslissing genomen
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;3;6;6;5;0;1.175,26;0;1.447,26;982,27;0,00;0,00;In behandeling (na beroep)
2024;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;9;9;9;6;0;1.355,04;0;352.144,38;4.304,41;0,00;0,00;Niet rechtsgeldig
2024;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;10;13;13;11;0;1.948,43;0;3.853,45;3.170,10;0,00;0,00;In behandeling (na beroep)
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;10;16;16;16;0;2.633,91;0;2.559,75;2.279,77;0,00;0,00;Geen beslissing genomen
2024;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;27;28;28;26;0;4.124,22;0;354.729,84;6.060,16;0,00;0,00;Aktename
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;60;72;72;53;0;13.123,03;0;20.034,49;13.929,92;0,00;0,00;Stopgezet
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;28;35;35;28;0;13.831,97;0;22.558,75;24.288,08;0,00;0,00;Weigering
2024;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;74;85;85;66;0;14.046,66;0;45.661,45;29.357,41;0,00;0,00;Weigering
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;58;112;112;103;0;23.882,04;0;44.616,44;26.865,18;0,00;0,00;In behandeling (na beroep)
2024;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;178;267;267;240;0;47.173,04;0;76.431,85;54.213,70;0,00;0,00;Stopgezet
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;239;239;239;236;0;50.311,60;0;52.233,21;23.985,93;0,00;0,00;Niet rechtsgeldig
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;275;348;348;295;0;58.765,75;0;93.418,76;67.936,79;0,00;0,00;Vergunning
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;412;413;413;410;0;76.038,69;0;86.736,60;53.698,41;0,00;0,00;Aktename
2024;eengezinswoning;Verbouwen of hergebruik;Rechtspersoon;875;1.185;1.185;1.062;0;185.650,47;0;268.551,08;317.572,48;0,00;0,00;Vergunning
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;843;974;974;908;0;226.565,82;0;249.722,71;171.471,32;0,00;0,00;Weigering
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;2.596;2.823;2.823;2.630;0;751.770,52;0;748.192,55;558.813,96;0,00;0,00;Stopgezet
2024;eengezinswoning;Verbouwen of hergebruik;Natuurlijk persoon;13.149;13.873;13.874;13.329;0;3.685.938,18;0;3.233.720,16;2.038.026,25;0,00;0,00;Vergunning
2025;eengezinswoning;Nieuwbouw;Overheid;1;1;1;1;0;109,54;0;109,54;64,46;0,00;0,00;Vergunning
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon;4;4;4;3;0;1.011,46;0;1.387,08;1.192,49;0,00;0,00;Geen beslissing genomen
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;9;30;30;30;0;4.095,46;0;4.051,26;2.272,27;0,00;0,00;In behandeling (na beroep)
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;20;48;48;46;0;6.498,59;0;6.989,83;4.611,77;0,00;0,00;Weigering
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;54;141;141;139;0;21.569,37;0;71.094,52;19.470,05;0,00;0,00;Stopgezet
2025;eengezinswoning;Nieuwbouw;Natuurlijk persoon;89;103;103;102;0;23.876,27;0;37.209,41;36.702,98;0,00;0,00;In behandeling (na beroep)
2025;eengezinswoning;Nieuwbouw;Rechtspersoon;46;164;164;162;0;24.076,78;0;27.418,10;15.259,94;0,00;0,00;In behandeling (na beroep)
